;Config settings
"MageMonkey - MailChimp integration by ebizmarts", "MageMonkey - MailChimp integração por ebizmarts"
"Get a free MailChimp account now","Tenha uma conta grátis agora"
"Enabled","Ativado"
"API Key","Chave API"
"General Subscription","Subscrição geral"
"Your MailChimp API Key.<br/><a target ='_blank' href ='http://kb.mailchimp.com/article/where-can-i-find-my-api-key/'>Where can I find my API Key?</a>","Seu MailChimp Chave API.<br/><a target ='_blank' href ='http://kb.mailchimp.com/article/where-can-i-find-my-api-key/'>Onde posso encontrar minha chave API?</a>"
"Trial mode: Whether the Account is in Trial mode (can only send campaigns to less than 100 emails).<br/><a target='_blank' href='http://mailchimp.com/pricing/'>More about MailChimp plans.</a>", "Modo de teste: Se me conta está no modo de teste (só pode enviar campanhas para menos do 100 e-mails).<br/><a target='_blank' href='http://mailchimp.com/pricing/'>Mais sobre os planos MailChimp.</a>"
"Synchronize Magento's General Subscription List with this MailChimp list","Sincronice subscrição o geral de Magento Listar com esta lista MailChimp"
"All selected lists will be available to customers as additionals lists","oda as listas selecionadas estarão disponiveis para os clientes como listas adicionais"
"Additional Lists","Listas adicionais"
"Double opt-in","Double opt-in"
"<b>IMPORTANT</b>: Should be set to <b>Yes</b>. Abusing this may cause your account to be suspended.<br/><a target='_blank' href='http://kb.mailchimp.com/article/how-does-confirmed-optin-or-double-optin-work/'>How does double opt-in work?</a>","<b>IMPORTANT</b>: Deve ser defido como <b>Sim</b>. Abusando deste pode causar suspensão do seu conta.<br/><a target='_blank' href='http://kb.mailchimp.com/article/how-does-confirmed-optin-or-double-optin-work/'>Como isso funciona?</a>"
"Enable Ecommerce360 for", "Enable Ecommerce360 for"
"Send new orders to MailChimp using Ecommerce360.<br/><a target='_blank' href='http://kb.mailchimp.com/article/how-do-i-turn-on-ecommerce360-tracking-on-my-campaigns/'>How do I turn on Ecommerce360 tracking on my campaigns?</a>", "Enviar novas ordems para MailChimp usando Ecommerce360.<br/><a target='_blank' href='http://kb.mailchimp.com/article/how-do-i-turn-on-ecommerce360-tracking-on-my-campaigns/'>Como habilitar esse recurso?</a>"
"Customer Fields Mapping", "Mapeamento de campos do cliente"
"<a target=\"_blank\" href=\"http://kb.mailchimp.com/article/all-the-merge-tags-cheatsheet\">All The Merge Tags (Cheatsheet)</a>","<a target=\"_blank\" href=\"http://kb.mailchimp.com/article/all-the-merge-tags-cheatsheet\">All The Merge Tags (Cheatsheet)</a>"
"First Name for Guests subscribers", "Primer nome para assinantes convidados"
"This value will be sent as FNAME to MailChimp", "Este valor será enviado como FNAME para MailChimp"
"Last Name for Guests subscribers", "Sobrenome"
"This value will be sent as LNAME to MailChimp", "Este valor será enviado como LNAME para MailChimp"

;Notification messages
"MailChimp Cleaned Emails: %s %s at %s reason: %s","E-mails eliminados (cleaned): %s %s at %s razão: %s"
"MailChimp Campaign Send: %s %s at %s","MailChimp Envio de campanha: %s %s a %s"
"Confirmation request has been sent.","Pedido de comfirmação foi enviado."

;Additional translations
"members", "membro"
"Customer", "Cliente"
"MailChimp", "MailChimp"
"Add field", "Adicionar campo"
"Username:", "Nome de usuário:"
"Plan type:", "Tipo de plano:"
"Is in trial mode?:", "Esta en modo de teste?:"
"Enabled - Checked by default", "Ativado – Verificado por padrão"
"Enabled - Not Checked by default", "Ativado – Não verificado"
"Enabled - Force subscription", "Ativado – Forçar suscrição"
"-- Disabled --", "-- Inativo --"
"Could not add Webhook "%s" for list "%s", error code %s, %s","Não foi possível adicionar Webhook "%s" à lista "%s", código de erro %s, %s"
"There is no List selected please save the configuration again","Não existe uma Lista selecionada por favor salve a configuração novamente"
